id,name,local_name,cuisine_type,course,community,description,ingredients,ingredient_names,instructions,serving_suggestion,alternative_cooking,
11,Chicken Stew,Enkoko,african,sauce,Baganda,Chicken stew,Chicken|Tomatoes|Water|Salt|Onions,chicken|tomatoes|water|salt|onions,"Cut chicken into medium sized pieces. Place chicken in a saucepan. Add salt. Put on fire and fry with its own fat. Add onion and tomatoes. Continue frying. When tending to dry, add enough water for sauce. Leave to boil until ready, then serve.","Serve with matooke, cassava, or sweet potatoes.","Chicken can also be put in a metallic saucepan with a fitting lid (box) with salt, onions, and tomatoes, then steamed together with the matooke. Chicken can also be prepared in Luwombo form: wrap in banana leaves, cover with banana leaves in a saucepan, and steam for 1 hour.",
12,Bean Stew,Ebijanjalo,african,sauce,Baganda,Bean stew,Beans|Tomatoes|Water|Salt|Onions,beans|tomatoes|water|salt|onions,"Get fresh beans. Clean by sorting first, then wash with water. Boil them with salt until ready or soft. Drain out the soup. Heat cooking oil in another pan. Add onions and tomatoes. When ready, add beans, then the drained soup. Boil for 15 minutes, then serve.","Serve with matooke, cassava, or sweet potatoes.",,
13,Fish Stew,Ebyenyanja,african,sauce,Baganda,Fish stew,Fish|Tomatoes|Water|Salt|Onions,fish|tomatoes|water|salt|onions,"Get fish. Heat cooking oil in a pan. Add onions and tomatoes. When ready, add fish. Add water and salt. Cook until ready, then serve.","Serve with matooke, cassava, or sweet potatoes.",,
14,Pea Stew,Kawo,african,sauce,Baganda,Pea stew,Peas|Tomatoes|Water|Salt|Onions,peas|tomatoes|water|salt|onions,"Get fresh peas. Clean by sorting first, then wash with water. Boil them with salt until ready or soft. Drain out the soup. Heat cooking oil in another pan. Add onions and tomatoes. When ready, add peas, then the drained soup. Boil for 15 minutes, then serve.","Serve with matooke, cassava, or sweet potatoes.",,
15,Traditional Sorghum Beer,Enturire,african,beverage,Bakiga,Traditional sorghum-based alcoholic drink,Sorghum|Honey|Water,sorghum|honey|water,"Sorghum in a sack is dipped in water, such as in a river, for about 24 hours. The sorghum may or may not be mixed with ash. If it is mixed with ash, use half a basin of ash for 1 sack of sorghum. Mixing in ash solution ensures that the sorghum does not change colour from red to black. Pour the mixture on the floor in the house or outside and leave it for about 4 days. Germination continues. Take outside for drying on mats, carpets, or polythene paper. Some of the ash is left on the ground. Drying takes 1-3 days depending on the weather. When levels of humidity are high, drying takes 5 days. Keep turning it. Growth stops. Gather and clean the dirt by winnowing, then transfer it to a miller to grind it to flour. Use local stones to grind. Warm some water to 60°C for about 5 minutes. Add flour to water and stir until you obtain a thick but homogeneous mixture. Do not let it boil. Remove it from the fire after 5 minutes. It is now like Akaunga. Boil more water separately, an amount equivalent to half of the porridge. Leave it to cool. If mixed while hot, it spoils the porridge. Mix the cold water with the porridge and stir. One can drink this cold as porridge. Let this stay in a pan, pot, or bucket. Take half of the porridge after 5 hours and mix with honey (1 cup of honey for every 5 litres of porridge). Mix with the rest of the porridge. Leave the porridge for 4-5 days covered with a lid. After 2-3 days, it is sweet and can be drunk by those who like it sweet. After 5-6 days, it will be an alcoholic drink called Enturire. This method produces a rather sweet alcohol but needs about 2 weeks to prepare.",,"Another method of preparing Enturire: After mixing the cold water with the porridge and stirring in the previous method, leave the porridge for 5 days without adding honey. Then put honey and cover immediately and let it stay covered for a day. The cover can be a lid or sack. After this, you get Enturire. When preparing Enturire using this method, the Enturire is very strong and one cup can easily knock one out. To prepare Omulamba: Instead of adding honey to the porridge as in Enturire, add to the porridge twice its volume of water and stir. Leave the porridge covered for 6-7 days. It becomes a diluted alcoholic drink. Boil this porridge for about 2 hours to get Omusaze or Omutekye. If you keep Omusaze for 3-4 days it forms froth. Add germinated sorghum flour to thicken and ferment Omusaze and also to prevent further formation of froth. This is now called Omushemburo. Omushemburo is thicker. Boil more water and put it in germinated sorghum flour. Make porridge to the same temperature as Enturire (60°C). Remove it and cool. Mix it with Omushemburo. Leave it overnight and what you will have in the morning is Omulamba.",
16,Amaranthus with Groundnut Sauce,Dodo,african,sauce,Bakiga,Amaranthus leaves with groundnut sauce,2 bunches Amaranthus leaves|Groundnut flour|Onions|Tomatoes|Green pepper|Carrots|Curry powder|African eggplant,amaranthus leaves|groundnut flour|onions|tomatoes|green pepper|carrots|curry powder|african eggplant,Clean the amaranthus. Chop it and put it into a pot. Boil it in half a cup of water until it cooks (about 10 minutes). Add 4 spoons (2/3 of a glass) of groundnut flour. Let it boil and stir. Cook it briefly (about 5 minutes) and remove it from the fire.,"Serve with sweet potatoes, Irish potatoes, rice, posho, or matoke.","Once cooked with groundnuts, you can add onions, tomatoes, and flavours like green pepper, carrots, African eggplant (Entura), and curry powder.",
17,Eshwiga with Beans,Eshwiga,african,side,Bakiga,Eswiga leaves cooked with beans,Eswiga leaves|Beans|Onions|Salt|Tomatoes,eswiga leaves|beans|onions|salt|tomatoes,Clean the eswiga and chop it (optional). Take cooked beans and mix with eswiga. Cook the two together. Add salt to taste and serve.,"Serve with posho (Obuhunga), sweet potatoes (Ebiribwa), Irish potatoes (Emondi), Engano (wheat made like posho), or millet bread.","Method 1: Chop the vegetables. Get a clean saucepan, add oil and heat. Add onions, then tomatoes, and after this add eswiga. Cook for about 30 minutes or until it tastes cooked. Method 2: Chop off the hard stems of eswiga and clean. Put above cooking beans, Irish potatoes, or sweet potatoes for 15 minutes. Once ready, separate from main food without mixing. Add salt and serve as a side dish for other meals like beans or potatoes. Once cooked, you can also fry with oil and onions (normally without tomatoes) and serve. Method 3: Once beans and vegetables are ready, you may mix to make a sauce (not fried) and cook briefly. You can add onions and tomatoes and cook together.",
18,Irish Potatoes with Vegetables,Emondi,african,main,Bakiga,Irish potatoes with vegetables and beans,Irish potatoes|Green vegetables|Tomatoes|Onions|Carrots|Groundnuts|Beans|Salt|Water,irish potatoes|green vegetables|tomatoes|onions|carrots|groundnuts|beans|salt|water,"Peel the potatoes and wash them. Boil them for about 20 minutes. At this point, you can add the green vegetables. Add cooked beans and salt to taste, then serve.",,"Once the potatoes are cooked, you can add tomatoes, onions, carrots, groundnuts (for those with money), and green vegetables, then serve.",
19,Fermented Sorghum Drink,Obushera,african,beverage,Bakiga,Fermented sorghum drink,Sorghum flour|Water,sorghum flour|water,Add 3 litres of cold water to 10 kilos of sorghum flour. Pour it into a drum of hot water. Mix and wait for two hours. Then add about 20 litres of cold but boiled water and mix. Wait for 1-2 days. It is now ready to drink.,,,
20,Traditional Sorghum Bread,Obuhemba,african,main,Bakiga,Traditional sorghum bread,Sorghum flour|Water,sorghum flour|water,"Pick sorghum (omukoma). Then thresh, winnow, and clean. Then pass over fire on a frying pan so that it assumes a very good taste. Then grind it. Boil water. Add the sorghum flour and mix. When ready, then serve.","Serve with meat, beans mixed with little ghee or butter (amajuta gente), peas, greens (eshwiga, ekicuringanyi), or slippery sauce like enderema and ekituruguma.",,
21,Cabbage with Beans,Cabbage,african,side,Bakiga,Traditional cabbage with beans or peas,Beans or peas|Salt|Cabbage,beans|cabbage|salt,Chop the cabbage into small pieces. Clean by washing with water. Boil with cooked peas or beans.,"Serve with obuhemba, sweet potatoes (ebiribwa), or smashed Irish potatoes.",,
22,Katogo,Kumwi'rurula,african,breakfast,Bagisu,A one-pot dish combining bananas with sauce,20 fingers green bananas|1 mug water|1 onion|2 small tomatoes|1/4 teaspoon salt|1/4 kg meat or intestines or beans|Cooking oil,green bananas|water|onion|tomatoes|salt|meat|cooking oil,Pick bananas. Peel the banana fingers. Clean remains of sap with water (only when dirty). Leave to drain if cleaned with water. Heat oil in pan. Put onions. Add tomatoes. Add the peeled banana fingers. Fry for a few minutes. Add water and salt. Leave to cook for 15-20 minutes on high fire.,,Meat is fried while intestines are pre-boiled for half an hour (no water is added). To prepare: chop meat into small pieces. Heat oil. Add onion when golden brown. Add tomatoes. Add meat or pre-boiled intestines. Cook until ready for about 15-30 minutes. Serve with Katogo as above.,
23,Chicken Chaps,Chicken Chaps,african,main,Bagisu,A chicken dish from Mbale,1 whole chicken|2 eggs|200g wheat flour|1 onion|1 teaspoon salt|500ml cooking oil,chicken|eggs|wheat flour|onion|salt|cooking oil,Cut chicken into pieces. Boil the chicken for 15 minutes. Strain out the water and let it dry. Chop onion into fine pieces. Mix eggs with wheat flour and chopped onions. Add salt to taste. Smear the mixture onto the chicken pieces. Deep fry until golden brown (about 3 minutes).,Serve with matoke and stew or soup.,,
24,Lime Water,Endimawu,african,beverage,Banyoro,"Lime water taken for cough, weight loss, diabetes or high blood pressure",2 limes|500ml water|1 teaspoon sugar (optional),lime|water|sugar,Cut limes into two halves. Squeeze each half to release the juice. Squeeze directly into clean water. Mix by stirring. Add sugar to taste (optional).,"Serve with snacks such as bread, biscuits, or other foods.",,
25,Groundnut Flour Sauce,Amaido,african,sauce,Basoga,Groundnut flour sauce,500g groundnut flour|1 litre water|2 tomatoes|1 onion|1 teaspoon salt,groundnut flour|water|tomatoes|onions|salt,Take groundnut flour (0.5 kg). Mix with cold water and put on fire. Let it boil as it forms foam. Wait until the foam has stopped. Add tomatoes and onions. Reduce the fire and let it simmer. Cook for one hour. Remove from the fire. Add salt to taste.,Serve with sweet potatoes.,"As Luwombo: mix flour with cold water, add onion and salt. Get a young banana leaf and heat it shortly, then curve it and pour the mixture. Tie and steam for 1 to 1.5 hours.",
26,Cowpea Seed Sauce,Magira,african,sauce,Basoga,Cowpea seed sauce,500g cowpea seeds|2 litres water|1 pinch magadi or oluvu|1 teaspoon salt,cowpea seeds|water|magadi|salt,Grind the cowpea seeds to remove the outer cover and break them up. Winnow on a tray to get rid of the covers. Put water in a pan. Add a pinch of oluvu or magadi to boil the water. Add the ground seeds. Then add two cups of water. Let it boil for one hour. Remove extra covers that float on boiling water using a spoon as you boil. Add salt as the food cools.,Serve with matooke.,"Boil peas then mash. Fry onions and tomatoes. Add mashed peas and water, then boil and serve.",
27,Cassava with Beans,Muwogo,african,main,Basoga,Cassava with beans,500g cassava|200g beans|1 onion|2 tomatoes|500ml water,cassava|beans|onions|tomatoes|water,"Peel the cassava and remove the pith. Wash. Cut the cassava into medium sized pieces. Get a saucepan and add the chopped cassava. Put the already cooked beans on top of the cassava. Fry onions and tomatoes separately, then add on top of the beans. Add water. Cover the saucepan with a plate or lid (banana leaves are not preferred). Cook for 30 minutes on mild fire. Open up spaces using a wooden spoon to let beans mix with cassava. Remove from the fire. Do not mash or mix the beans with cassava.",,Serve with tea or any beverage. (Note: This is a main dish that can be eaten as is.),
28,Smoked Fish with Groundnut Sauce,Eiva ye kyananda,african,sauce,Basoga,Smoked fish with groundnut sauce,300g smoked or dried fish|500ml water|2 tomatoes|1 onion|1 teaspoon salt|200g groundnut flour,dried fish|water|tomatoes|onion|salt|groundnut flour,"Get smoked or dried roasted fish and clean it. Break it into small pieces. Put water in a pan. Put on fire. Add tomatoes, onion, and salt. Cover and let it cook for 30 minutes. Mix in the groundnut flour. Add the fish and let it cook for a further 30 minutes (the fish is dry so it takes long to cook).","Serve with muwogo, kaunga, karo, banana, or sweet potato.",Can also be prepared in Luwombo form.,
29,White Ants Dish,Odi-ngwen,african,main,Acholi,Termite-based dish with high protein and fats,2 kg white termites|1 teaspoon salt,white termites|salt,"Obtain 2 kg of dry white termites either from storage or market. Put in a saucepan. Dry fry for 5-10 minutes on strong fire. Add salt to taste. Remove from heat. Pound termites to flour in a mortar and grind to paste. In Gulu, a special grinding stone (Kidi-rego) is used. Repeat grinding up to 3 times until the product is a paste.","Serve with cooked cassava (gwana), sweet potatoes (Laiyata), or yams (Obaro).","Ngwen acela (Dry fried ants method 1): Get fresh white termites. Put a little water in a pot and heat. Put clean termites in pot and cover to generate enough steam to kill termites. Boil or steam for two minutes and remove from fire. Put termites in a saucepan and dry fry while mixing until dry. Add salt to taste. Put on a winnowing tray and remove legs and wings. Rub the termites briefly then pass a light current of air to blow away the wings. You may also remove the wings as you eat. This process is ideal for large amounts and served as a snack. Ngwen acela (Dry fried ants method 2): Dry fry fresh termites directly without boiling. Add salt to taste. Turn continuously. Eat as a snack while removing the wings. Dek ngwen (White ant sauce): Mix equal volumes of water and processed termites. Boil until mixture turns to white soup. Then fry with a little oil and onions and add tomatoes. Serve with kwon kal (Atapa), potatoes, or cassava. Dek ngwen with simsim or groundnut paste: Mix equal volumes of water and processed termites. Boil until mixture turns to white soup. Add tomatoes. When tomatoes are ready, remove from fire and add simsim paste. Serve with kwon kal (Atapa), potatoes, or cassava. Ajabu (White ant balls): Put freshly harvested termites in a bag. Shake to break off wings. Remove wings. Grind termites to a paste. Boil water in a pot. Gently add paste in portions or balls into the hot water. The pasty balls stick together into a ball. Repeat so that you have a number of balls in the water. Do not add any cold water as this will break the balls up into a soup. The balls are like meat in the soup. Serve with potatoes, cassava, or fresh pounded cassava (kwon but).",
30,Akeyo Leaves,Akeyo,african,main,Acholi,Akeyo vegetable dish,2 handfuls Akeyo leaves|2 litres water|1 teaspoon salt|1 teaspoon traditional salt or soda ash|100g groundnut and simsim paste,akeyo leaves|water|salt|traditional salt|groundnut paste|simsim paste,Pluck the leaves together with leaf stalks and sometimes even the young shoots (those that can be easily plucked). Discard the old mature stalks. Clean vegetable well. Place the plucked leaves on a chopping board and cut them very small. Use 2 litres of water for 2 handfuls of the cut akeyo leaves (cooking for 2 persons). Add the cut leaves and the stalks to the water and leave to cook for about 30 minutes on high fire. Then add traditional salt or soda ash and let it stay on low fire for 30 minutes. By this time the water would have reduced considerably. Remove from fire. Drain the water that has remained and put it aside. Do not pour away because you will need it a little later. Add groundnut and simsim paste and mix while adding a little of the water you had earlier drained out and put aside. Akeyo should be a thick sauce and hot.,Serve with sweet potatoes or cassava.,Akeyo (traditional method): Clean vegetable. Cut into small pieces (just as you cut Dodo). Boil water. Put leaves. Cook on low fire for 1-2 hours or until it feels soft when squeezed between the fingers. Remove water completely. Add salt. Pour groundnut paste (a lot of groundnuts are needed). Mix. Serve with sweet potatoes or cassava. This method is NOT traditional. Fried Akeyo: Fry onions in a pan with cooking oil. Add tomatoes and flavourings such as curry powder. Cook briefly. Add your boiled vegetables. Let cook briefly. Serve with cassava or sweet potatoes but not posho.,
31,Malakwang,Malakwang,african,main,Acholi,Sour vegetable dish from malakwang leaves,Fresh Malakwang leaves|100g groundnut and simsim paste|1 teaspoon salt,malakwang leaves|groundnut paste|simsim paste|salt,"Remove mid veins from the leaves. Wash vegetables in cold water (never in hot water). Let it boil for 10 minutes while turning regularly to cook well. Remove from heat and drain the water into a bowl. Soak vegetables in fresh cold water to reduce the sour taste. Take a portion of the drained water and add groundnut or simsim paste or a mixture of the two. Mix thoroughly. Remove vegetables from cold water and mix with paste. If you need the vegetable more sour, add more of the drained water. If you need it less sour, replace with fresh water. Boil briefly. Add salt to taste.","Best served with sweet potatoes, cassava, and kwon kal (finger millet posho or ugali).","Drain only a portion of the water into a bowl. Mix part of the drained portion with groundnut or simsim paste or a mixture of both. If you need it more sour, add more of the drained water. If too sour, add fresh water. Boil briefly. Serve with sweet potatoes, cassava, or kwon kal.",
32,Eboo,Eboo,african,main,Iteso,A traditional vegetable dish good for vitamin C,1 pinch magadi|500ml water|2 handfuls Eboo leaves|1 teaspoon salt|100g groundnut paste,magadi|water|eboo|salt|groundnut paste,Remove stalks to be left with leaves only. Dry for ten minutes in sun (optional). Wash. Boil water and add a pinch of magadi or abalang. Add vegetable and let simmer for ten minutes. Add salt to taste. Add groundnut paste (optional) and cook further for 5 minutes for the groundnuts.,"Serve with posho (Euga), Atap, or Acok.","Instead of adding groundnuts, you can fry the vegetable: fry onion in hot oil. Add tomatoes. Add vegetable and cook briefly for 30 minutes.",
33,Finger Millet Porridge with Tamarind,Akima,african,beverage,Iteso,Good for iron and carbohydrates for all age groups,1 litre water|200g finger millet flour|100g tamarind or 250ml milk,water|finger millet flour|tamarind|milk,Boil 0.5 litre of water. Mix flour in cool 0.5 litre water and pour it into the boiling water. Stir. Cook for about fifteen minutes. Add tamarind extract or milk. To prepare tamarind extract: remove covers of ripe tamarind fruits. Use cold water to extract the pulp by pressing between fingers in water. Add the extract to the cooked porridge. Let it boil briefly.,Serve for breakfast. Also good for a woman who has just given birth to increase breast milk production.,"For unripe tamarind fruit: put the unripe cleaned Epedur in hot water when intact (mbichi). Boil in water for two minutes. Remove from fire and let it cool. Squeeze to make extract (kamua). Remove fruit remains from juice (chuja). Use this to flavour your food, mainly uji (porridge) or atapa, especially inginyoit (sweet potato flour).",
34,Smoked Fish,Smoked Fish,african,main,Iteso,Tender smoked fish simmered in a rich tomato and onion stew until falling apart and flavorful.,500g smoked fish|3 tablespoons oil|1 onion|2 tomatoes|500ml water|1 teaspoon salt|100g groundnuts (optional),smoked fish|oil|onions|tomatoes|water|salt|groundnuts,"Clean the dried fish with warm water. Heat oil, then add onions and tomatoes. Add the fish after the oil, onions, and tomatoes are ready. Add salt and any flavourings, then cover. Add enough water to cover the fish. Cook for 45 minutes to 1 hour for Aputa, Agaria, and Ekolea, or for 1 to 1.5 hours for Ebileng.","Serve with Atap, Emuwogo, Emuceri, or Acok.","Once fish is fried, you may add groundnuts and cook a bit more, but this is optional. When the fish is about to get ready, you may add fresh cabbage, eggplant, carrot, or Entula. To cook Akobokob with the above vegetables or fish, cook the cleaned fruit first with some magadi or Abalaga as it is very hard, then add to the other foods once cooked. As Ebileng is hard to cook, Akobokob can be cooked at the same time.",
35,Dried Mushrooms,Eswei,african,main,Iteso,"Earthy dried mushrooms harvested from termite mounds, rehydrated and cooked into a savory sauce that can be stored for up to a year.",500ml water|200g dried Eswei|1 pinch magadi or Abalang|1 teaspoon salt|100g groundnuts (optional),water|eswei|magadi|salt|groundnuts,Harvest Eswei from a termite mound. Remove the base part that has soil. Dry in the sun for 1-2 days until dry. Can be stored for a long time in this form. Soak in cold water for about half an hour. Boil water. Add a little magadi or Abalang. Put Eswei in the boiling water while rinsing. Cook for about 30 minutes or until soft. Add salt. Add groundnuts to thicken the sauce (optional) and boil briefly.,"Serve with Atap, Acok, cassava (Emuwogo), or posho.",,
36,Steamed Matooke,Amatooke Amanyige,african,main,Baganda,"Traditional Baganda steamed green bananas, carefully wrapped in banana leaves and slow-cooked until soft and ready for mashing.",10-15 green matooke fingers|Banana leaves|Banana leaf stalks|500ml water,green bananas|banana leaves|banana leaf stalks|water,"Peel matooke and wash with plain clean water. Prepare the banana leaf stalks (ebikolokomba) proportional to the size of the saucepan so that they fit at the base (about 3-4 inches). Add enough water to the level of the stalks. Carefully prepare at least four banana leaves by removing the stalk (omuzingonyo). Place at least two well-prepared banana leaves in the basket in a crosswise manner, then add the matooke. Neatly arrange and wrap the matooke with 3 banana leaves and secure them with banana fibers (Ebyayi). Carry the well-packed matooke into the earlier prepared saucepan. One by one, tuck the banana leaves on top of each other until you are satisfied that they fit snugly. Place the matooke on moderate fire for at least 45 minutes to 1 hour. Regularly check the matooke to ensure it does not run out of water to avoid burning. When the banana leaves have turned brown, this indicates that the matooke is ready to be mashed. Remove the ready matooke from the saucepan and place them in a basket for mashing using a fresh banana leaf. Wrap the mashed matooke neatly in banana leaves and return to the saucepan, adding more water underneath. Put the matooke back on the fire and leave it to boil before reducing heat and simmering for at least another hour.",,This is the full traditional method for preparing matooke for special occasions.,
37,Braised Matooke (Katogo),Katogo (Meatless Version),african,main,Ugandan,A hearty one-pot melange of green bananas simmered with vegetables until soft and richly flavored.,10 green matooke fingers|2 carrots|3 cloves garlic|1 onion|1 teaspoon salt|2 tablespoons ghee|1 bunch amaranth (dodo)|2 tablespoons tomato paste|5 garden eggs (entula) or bitter berries (katunkuma)|2 tomatoes,green bananas|carrots|garlic|onions|salt|ghee|amaranth|tomato paste|garden eggs|tomatoes,"Put the matooke into a heavy saucepan and add water halfway, then bring to a boil. Do NOT add salt. Reduce the heat and let it simmer gently for at least an hour. Meanwhile, heat some vegetable oil in a medium saucepan and fry the garlic and onions, then add the rest of the vegetables including salt and pepper. Add a bit of water and simmer gently over low heat for forty-five minutes. Correct the seasoning. As soon as the matooke is done, drain the water and reserve some of it. Immediately after draining the matooke, add the vegetables and return your saucepan to the fire. Once it begins to boil, reduce the heat at once and cook for another half hour.",,This meatless version of Katogo is rich with garden eggs and amaranth.,
38,Steamed Plantain,Steamed Plantain,african,main,Ugandan,"Sweet and tender steamed ripe plantains, cooked in their skins to lock in moisture and natural sugars.",4 ripe plantains,ripe plantains,Wash and cut off the tip and end of each plantain but do not peel. Arrange in the top of a double boiler and steam covered over low heat for about 45 minutes.,Serve as a side dish or breakfast.,,
39,Fried Plantain,Fried Plantain,african,main,Ugandan,"Crispy and caramelized deep-fried ripe plantain slices, golden on the outside and soft inside.",4 ripe plantains|500ml cooking oil,ripe plantains|cooking oil,Peel ripe plantains and slice into half lengthwise or chop into small slices. Deep fry in hot cooking oil until you get a nice golden color.,"Serve as a snack, side dish, or breakfast.",,
40,Fried Cassava,Cassava chips,african,main,Ugandan,"Crispy deep-fried cassava strips, seasoned with aromat and pepper for a savory, crunchy snack or side dish.",500g cassava|1 teaspoon aromat|1 teaspoon pepper|500ml vegetable oil,cassava|aromat|pepper|vegetable oil,"Wash and peel the cassava, then cut into thin strips. Remove the membrane from the middle. Drain and wipe dry, then set aside. Heat the oil until it is almost smoking, then place a few cassava pieces in the oil and fry until they become brownish. Remove from the oil and sprinkle a liberal amount of aromat and pepper. Salt is a ready substitute.",Serve as a snack or side dish.,,
41,Fried Cassava Balls,Fried Cassava Balls,african,snack,Ugandan,"Creamy mashed cassava rolled into golden balls, coated in breadcrumbs and deep-fried until crispy outside and soft inside.",500g cassava|500ml water|1 teaspoon salt|1 teaspoon pepper|1 teaspoon onion powder|1 teaspoon garlic powder|100g bread crumbs|2 eggs|500ml vegetable oil,cassava|water|salt|pepper|onion powder|garlic powder|bread crumbs|eggs|vegetable oil,"Wash, peel, and cut the cassava into cubes. Set aside. Boil the cassava with a little salt until it is cooked. Strain and set aside until it cools. When ready to fry, add the onion powder, garlic powder, and pepper. Mash well until everything is well mixed, then shape into large marble-sized balls. Mix in the beaten egg, then roll the cassava balls into the bread crumbs. Deep fry until they are a nice golden brown color.",Serve as a snack or appetizer.,,
42,Boiled Irish Potatoes,Emondi,african,main,Ugandan,"Soft, tender boiled potatoes rolled in melted butter, simply seasoned with salt for a comforting side dish.",500g potatoes|1 litre water|1 teaspoon salt|2 tablespoons butter,potatoes|water|salt|butter,"Bring the potatoes to a boil with some salt added to the saucepan. Reduce the heat and simmer gently for about 20 to 40 minutes. When they are tender, drain well and roll them in the butter or margarine.",Serve as a side dish with stews or vegetables.,,
43,Millet Bread,Akalo,african,main,Ugandan,"Traditional thick and hearty millet bread, slowly stirred to a smooth, lump-free consistency and served in sliced portions.",500g millet flour|1 litre water,millet flour|water,"Use a heavy pan that does not burn easily. Bring a couple of cups of water to a boil, then add about half of the millet. Stir the millet briskly using a wooden spatula to ensure that all the water becomes absorbed to the point where the bread is thick. Keep adding more flour and water as needed while you keep turning the millet, making sure there are no lumps. Use low heat. Make certain there is no raw flour and no lumps. When cooked, turn it onto a platter (a traditional serving basket is even better). Traditionally, millet bread is served sliced with a strong thread and cut into small portions suitable for serving guests.","Serve with groundnut sauce, meat stew, or greens.",,
